"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3035.35/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x450aabd464f160a9a23434a8bc160bbf341eacbc86f68a9e2b9d30cf569e375d","13349379","1633306192","2021-10-04 00:09:52","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xa45ef87f51b84dbd0d5b003d288b16d3d044fe6f","","0","0.12","364.242","0.02056964","62.436056774","3384.50","","","Mint Presale",""
"0x3abb9785f81c825bf9e13a0e65e0709f0a1721ac57f5fafe1ebd1b9cc0884b85","13349394","1633306408","2021-10-04 00:13:28","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xa45ef87f51b84dbd0d5b003d288b16d3d044fe6f","","0","0","0","0.003979105","12.07797636175","3384.50","","","Set Approval For All",""
"0xb15c6a88dedcccc4f60d2b840ea083e46a7c8a3f3f61e2b3bcdbaf9c0c99458e","13349455","1633307237","2021-10-04 00:27:17","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.006598768","20.0295704488","3384.50","","","Cancel Order_",""
"0x0e1b2ca2083f3da282efccc2a193fb2ceab6e2078ff6f8bce446624fe7e510bd","13350758","1633325483","2021-10-04 05:31:23","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xa9fdb3f96fae7c12d70393659867c6115683ada0","","0","0","0","0.00514459","15.6156312565","3384.50","","","Set Approval For All",""
"0xc6f670fd73d1e6bf22bb9a83ea8f4faf8f3eb47d941ca1788048a93852b97e70","13354335","1633373298","2021-10-04 18:48:18","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0","0","0","0.00189","5.7368115","3384.50","","","Transfer",""
"0x70fe953698fae4fc0790d301af2b1bb19a6707694a677684f3ea65bb18747d13","13354347","1633373455","2021-10-04 18:50:55","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0","0.5","1517.675","0.00189","5.7368115","3384.50","","","Transfer",""
"0xc9c533fee6b622cc73a6d9b044b5612ee43aea3a9ff90f26b5486b83440f3ac5","13354650","1633377657","2021-10-04 20:00:57","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x93c46751ec242eeb704cf1670385bb11c1e09521","","0","0.2","607.07","0.1905288","578.32159308","3384.50","","","Buy Ticket",""
"0x884225b3632389a12d4b3b75d92927e6018e2b24a5f6607e297551819e8442a5","13356333","1633400576","2021-10-05 02:22:56","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0.16","485.656","0.02752848","83.558571768","3516.09","","","Atomic Match_",""
"0x08c3d8f82a90d1b5ac2d4a1779c2c783c4155628d9266581688751c1d2b3226a","13360677","1633458630","2021-10-05 18:30:30","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7cba74d0b16c8e18a9e48d3b7404d7739bb24f23","","0","0.45","1365.9075","0.6438996","1954.46065086","3516.09","","","Adopt",""
"0x37f4226b728837eb09640331d0ab0f9167cea840afb13170132b831372f53d46","13360745","1633459651","2021-10-05 18:47:31","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7cba74d0b16c8e18a9e48d3b7404d7739bb24f23","","0","0","0","0.010507873420021762","31.8950735854631","3516.09","","","Set Approval For All",""
