addr,kyc
0x4f4c4f48a5c5b179b8fabaf200f24142cdf68bdb,false
0xdc466cf79809ed5fd049c56c7e378bffd195a0ce,false
0x4618ba0e185cc56ac8249e125a41c1b57a4df40e,false
0x869eaedeb0512c666b0b70b0f1e8394882f429b2,false
0x58b99e549b46fe8703db8d9cd7873484e2aa0761,false
0xd64ed4443c887f37c389f4d09b1135bac663c683,false
0x21eb1848824aee29b83ca69e5cd8abc44e359f1b,false
0xbafc6d4ebbd464ab7ae2668bcbf2d2b260c2c403,false
0x30a933add6fd601d152aa4aaf7620b5e27e88888,false
0x651fa602eafc3aef3d6a337cfd68d5c72052f41f,false
0x2278879c60faf01cb5af93ea2d6d7396812dc068,false
0x82e57ddd56124841190e82117f3b7f49d3ff9758,false
0x22b5721dc6b4b9b80afa97914b832d1a242e2772,false
0x3a47abf085cd75156e38edaaabd12bbdda84109f,false
0xd56aec6c5b5a41a3099587bee5b7e50edf4238c7,false
0xd2abcb23bfc1821c91054a42355d040b20e945a9,false
0xc1452254a7294efe71ae8f97b185a7beaa99a5ff,false
0x5b0ed9a70d8858fa78dbda02603cacaac7c35ca1,false
0x5a076d670c4d32fe3046337192e07dcb490e53c7,false
0x651ba8d3e989c617d4bd136be10e2e6bb17c05a3,false
0xe41ef1e1e368d6fbe8c747f925be3ca655871e79,false
0x06c76e90dba43b8860689a54367c976ffaff4aee,false
0xe4010ba7d3ff28de6854cf224dfa313b30f8b6a6,false
0x0c4e9308ce1ae997133e6c88f981d84e35f5df9b,false
0xc567779fc30e2e4ad632abf13e57a79fa4fb8937,false
0xea843e05a497d7220357ecfbf30d97e31641c28d,false
0x6c2aa36952ea16f235721bcb8edefdb69a855748,false
0xb97f12f4402fb8400ea6ce80437741ecff8acf80,false
0xf6e9b43969f52021bc920c635df3933bc01ab52c,false
0xd03e3e767fae065b41fccbfa0dfb3c538cf2b484,false
0x5baa13b887445687059fceb4490a9837537ff405,true
0x2fd0d1dbb5c3c9e132832adcd22b2df911a4c83d,false
0xe52386e145bf3081190181ffbafc285ba72486dd,false
0x28870a378dcd5d0a08ca0554cc520c23834d8b00,false
0xfbb58c8a747137da7c80b0b9a87e81c9fdddd6c1,false
0x5c60ac0c0161d91a31ae7f72b15d5439b0eaf8e6,false
0xa3952e06be81392c2f474a4414026ec2bd22bafc,false
0x363ddacb6f397cafc200b6b4c6d3d32bc865a7e1,false
0xb1703a3d3abf580fdd6943f3d82cac89e60f1bea,false
0x5f36e3b9b74baca7447edc814d2db961c355ccaf,false
0x6f7b4fbbeb6cd1e176a395240ee4435fa48c3d1a,false
0xcccb6ce4fb2269c8f7934b8fd8e93e9ee3237a77,false
0x9cdab911d364ffd165bda26c70f7e2a7e0a8dd90,false
0xe3e5e311467d056ca183ea60a301a00da862c9a6,false
0x01d540399ca56038e166c5eae93ea133d8008a16,false
0x39880cb9a885b9f2353352c4edaeb4a8b1c6541e,true
0x8e4f907da1189eb2e7a5845ab4b262505afebab2,true
0x5218fa217d312448049c56db9aa13f0db657e02d,false
0xc37b4e319aabb908fcf79906b4b940554a9c9d81,false
0xdf3a0486de04b167fc1a99b9f48150c326cbcafe,false
0x92d7e2604ebf2ea24117429c256fd348a7a053cd,false
0x8707a43189a8bafad3d6bbb412af3916daf8476e,false
0xec72093219f97f24ae43659c07e23a3c6a7adbba,false
0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf,false
0xf6b4f711a2e3329b6c2782b3e7ceeabfb62e3d89,false
0x399bb6252e7e4e4e54c92aea11e5c332de2fd8b3,false
0xc7707bc6ddac11ec714012102d35232ef8cbde11,false
0x876e360c46f1e994d94178078f0e1417fa057856,false
0x442a1df767a80466974829bb86680ed6b5dc2c10,false
0x51b16446ee57bb46ae71fad3e3cd0615600942a4,false
0x0d1f8794793ab89cc2f56321f5fe1bcbba40ae2f,true
0xe3b8bb2ff99c7b36896cab6fcda8b9a32a616955,false
0x192da10e44415df72aeb9237d9a2d59df6b5130e,false
0x340ec0453c99342b96e0e4fcc32ca82093a262ca,false
0x8d44abb7e07d53776769f885a56bf295619e308a,false
0xfc20f3136e9d2851068befffee1d631be66ab164,false
0x4f53a3fd90de034852a8e7d543ba32f3824efa36,false
0x8317593e3e729ebae584ba2237113c357e24d0fd,false
0x190248d61c5676d9415dffc1d965d0bf7f6cb71d,false
0xcfcf2c0b327d404c1c9e712272ecf1e613a75a25,true
0xfebd9cfa94b5beadb3df25c790b2bb5f1dcee3ef,false
0x8878d9429e04d2c06554bf2a084705d1d76ea316,false
0xc8902114205651a66b7e106b69f103fcad96cf87,false
0x0f34d9c4e01f9f350536780fd1fbc05aa3e3403d,false
0xf35fd66da62a241b82782419c0407abd74a35176,false
0xd7d645c68bb938e007cfaad49fa81cb9b710cd88,false
0x33f662b9665c1a59b937beb803c30f6274c956f6,false
0xe84ff59f18d7610e1110551a7ea7b17596afa1c6,false
